dataset,policy_episode,policy_layers,policy_neurons,policy_loss,policy_probs,lr optimizer,search_space,state,max depth of child network,child_steps_episod,steps,reward,network_accuracy,moving_accuracy,total_reward,gradients_entropty_avg,gradients_entropty_std,trainable_variables,time_taken
fashion_mst,0,2,35,124.298,"['0.064', '0.050', '0.050', '0.063']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.05, 0.002, 0.9]",9,50,1519,0.84,83.67,83.95,0.84,731.41,254.82,2712266,21.38
fashion_mst,1,2,35,74.151,"['0.063', '0.050', '0.050', '0.063']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.3, 0.05, 0.75]",9,50,1519,0.72,72.07,81.57,1.56,749.28,364.63,2712266,22.32
fashion_mst,2,2,35,123.022,"['0.068', '0.050', '0.050', '0.068']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.15, 0.01, 0.7]",9,50,686,0.86,86.37,86.48,2.42,723.74,215.34,2712266,35.82
fashion_mst,3,2,35,114.642,"['0.067', '0.050', '0.050', '0.067']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.25, 0.008, 0.7]",9,50,1225,0.87,87.09,87.67,3.29,722.13,240.02,2712266,43.33
fashion_mst,4,2,35,78.624,"['0.061', '0.050', '0.050', '0.060']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.03, 0.95]",9,50,1225,0.74,74.34,85.0,4.04,750.09,285.24,2712266,44.26
fashion_mst,5,2,35,94.527,"['0.073', '0.050', '0.050', '0.076']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.95]",9,50,1225,0.74,74.2,82.84,4.78,749.06,311.55,2712266,45.11
fashion_mst,6,2,35,71.441,"['0.057', '0.050', '0.050', '0.056']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.2, 0.07, 0.8]",9,50,1715,0.84,83.8,83.97,5.62,730.49,281.06,2712266,52.1
fashion_mst,7,2,35,111.85,"['0.063', '0.050', '0.050', '0.062']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.1, 0.04, 0.95]",9,50,1715,0.83,82.6,83.69,6.44,726.69,299.7,2712266,52.98
fashion_mst,8,2,35,28.61,"['0.056', '0.050', '0.050', '0.055']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.3, 0.07, 0.8]",9,50,539,0.86,85.66,86.73,7.3,730.56,276.98,2712266,62.57
fashion_mst,9,2,35,99.046,"['0.063', '0.050', '0.050', '0.062']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.15, 0.04, 0.8]",9,50,1029,0.88,88.23,88.32,8.18,720.65,260.21,2712266,69.37
fashion_mst,10,2,35,91.748,"['0.072', '0.050', '0.050', '0.075']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.85]",9,50,1029,0.85,85.48,87.75,9.04,720.73,271.19,2712266,70.25
fashion_mst,11,2,35,89.66,"['0.059', '0.050', '0.050', '0.059']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.2, 0.08, 0.9]",9,50,1029,0.84,84.1,87.02,9.88,719.75,268.33,2712266,71.27
fashion_mst,12,2,35,114.561,"['0.064', '0.050', '0.050', '0.064']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.2, 0.008, 0.7]",9,50,1029,0.8,80.18,85.65,10.68,739.2,276.58,2712266,72.35
fashion_mst,13,2,35,87.105,"['0.060', '0.050', '0.050', '0.059']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.05, 0.001, 0.85]",9,50,1470,0.89,88.7,88.72,11.56,718.44,208.58,2712266,102.39
fashion_mst,14,2,35,129.825,"['0.064', '0.050', '0.050', '0.063']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.15, 0.004, 0.9]",9,50,1470,0.82,81.88,87.35,12.38,735.77,239.03,2712266,103.3
fashion_mst,15,2,35,94.41,"['0.073', '0.050', '0.050', '0.076']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.95]",9,50,1568,0.83,82.51,85.0,13.21,729.99,281.21,2712266,105.4
fashion_mst,16,2,35,92.525,"['0.067', '0.050', '0.050', '0.067']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.25, 0.007, 0.85]",9,50,1127,0.88,88.32,88.33,14.09,720.1,211.79,2712266,124.11
fashion_mst,17,2,35,74.007,"['0.063', '0.050', '0.050', '0.063']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.15, 0.05, 0.75]",9,50,1127,0.88,88.26,88.32,14.97,720.94,206.25,2712266,125.0
fashion_mst,18,2,35,108.937,"['0.066', '0.050', '0.050', '0.066']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.25, 0.007, 0.95]",9,50,1127,0.79,79.06,86.47,15.77,743.73,237.36,2712266,125.85
fashion_mst,19,2,35,103.238,"['0.064', '0.050', '0.050', '0.063']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.2, 0.05, 0.9]",9,50,1225,0.79,79.14,83.2,16.56,737.14,311.76,2712266,127.96
fashion_mst,20,2,35,74.198,"['0.065', '0.050', '0.050', '0.064']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.15, 0.02, 0.95]",9,50,1323,0.83,82.59,82.81,17.38,730.74,282.51,2712266,129.95
fashion_mst,21,2,35,54.952,"['0.056', '0.050', '0.050', '0.056']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.1, 0.03, 0.8]",9,50,196,0.89,88.86,88.92,18.27,717.86,237.47,2712266,139.89
fashion_mst,22,2,35,64.411,"['0.063', '0.050', '0.050', '0.062']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.15, 0.002, 0.95]",9,50,1274,0.9,89.92,89.98,19.17,716.15,195.16,2712266,154.23
