dataset,policy_episode,policy_layers,policy_neurons,policy_loss,policy_probs,lr optimizer,search_space,state,max depth of child network,child_steps_episod,steps,reward,network_accuracy,moving_accuracy,total_reward,gradients_entropty_avg,gradients_entropty_std,trainable_variables,time_taken
mnist,0,2,35,79.704,"['0.060', '0.050', '0.050', '0.062']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.1, 0.02, 0.8]",9,50,98,0.91,90.62,90.73,0.91,719.66,89.53,2712266,5.17
mnist,1,2,35,28.577,"['0.053', '0.050', '0.050', '0.053']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.95]",9,50,98,0.86,85.65,89.72,1.76,720.78,182.76,2712266,6.46
mnist,2,2,35,68.835,"['0.055', '0.050', '0.050', '0.056']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.06, 0.75]",9,50,1813,0.98,97.83,98.2,2.74,697.46,60.28,2712266,27.94
mnist,3,2,35,59.131,"['0.054', '0.050', '0.050', '0.055']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.05, 0.001, 0.95]",9,50,1127,0.99,98.81,98.83,3.73,695.29,52.31,2712266,43.24
mnist,4,2,35,61.815,"['0.056', '0.050', '0.050', '0.058']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.15, 0.02, 0.85]",9,50,1127,0.99,98.69,98.8,4.72,694.25,54.7,2712266,44.04
mnist,5,2,35,125.583,"['0.063', '0.050', '0.050', '0.066']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.05, 0.007, 0.8]",9,50,1519,0.99,98.91,98.91,5.71,694.35,55.93,2712266,49.75
mnist,6,2,35,100.664,"['0.060', '0.050', '0.050', '0.062']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.2, 0.05, 0.95]",9,50,1519,0.91,90.62,97.25,6.61,714.1,100.78,2712266,50.57
mnist,7,2,35,99.352,"['0.056', '0.050', '0.050', '0.057']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.25, 0.007, 0.95]",9,50,49,0.98,98.27,98.3,7.59,696.84,62.08,2712266,56.38
mnist,8,2,35,136.673,"['0.063', '0.050', '0.050', '0.066']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.05, 0.008, 0.95]",9,50,833,0.99,98.68,98.74,8.58,694.68,62.66,2712266,66.03
mnist,9,2,35,140.999,"['0.059', '0.050', '0.050', '0.061']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.25, 0.008, 0.75]",9,50,1078,0.99,98.77,98.81,9.57,694.18,54.59,2712266,69.7
mnist,10,2,35,92.279,"['0.057', '0.050', '0.050', '0.059']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.03, 0.85]",9,50,1127,0.99,98.71,98.8,10.56,693.79,55.68,2712266,71.01
