dataset,policy_episode,policy_layers,policy_neurons,policy_loss,policy_probs,lr optimizer,search_space,state,max depth of child network,child_steps_episod,steps,reward,network_accuracy,moving_accuracy,total_reward,gradients_entropty_avg,gradients_entropty_std,trainable_variables,time_taken
tiny_imagenet,0,2,35,116.008,"['0.050', '0.051', '0.068', '0.050']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[5, 0.2, 0.03, 0.85]",18,50,98,0.0,0.48,0.58,0.0,912.95,198.31,46187016,14.49
tiny_imagenet,1,2,35,107.594,"['0.050', '0.050', '0.064', '0.050']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[7, 0.05, 0.07, 0.7]",18,50,245,0.0,0.39,0.59,0.01,910.27,159.69,46187016,31.1
tiny_imagenet,2,2,35,110.539,"['0.050', '0.051', '0.064', '0.050']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[2, 0.15, 0.002, 0.95]",18,50,1078,0.01,1.11,1.14,0.02,898.56,229.87,46187016,101.55
tiny_imagenet,3,2,35,122.873,"['0.050', '0.051', '0.065', '0.050']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[6, 0.15, 0.001, 0.9]",18,50,1078,0.01,0.54,1.02,0.03,908.66,102.34,46187016,107.34
tiny_imagenet,4,2,35,93.932,"['0.050', '0.051', '0.064', '0.050']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[7, 0.05, 0.02, 0.75]",18,50,1323,0.01,0.84,0.99,0.03,907.0,154.55,46187016,132.74
tiny_imagenet,5,2,35,121.501,"['0.050', '0.051', '0.067', '0.050']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.1, 0.02, 0.9]",18,50,1323,0.01,0.7,0.93,0.04,897.85,206.63,46187016,138.48
tiny_imagenet,6,2,35,78.44,"['0.050', '0.051', '0.063', '0.050']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[6, 0.2, 0.05, 0.85]",18,50,1372,0.01,0.68,0.86,0.05,907.92,221.73,46187016,147.39
tiny_imagenet,7,2,35,111.721,"['0.050', '0.050', '0.063', '0.050']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[8, 0.2, 0.08, 0.85]",18,50,1372,0.01,0.57,0.8,0.05,914.59,176.57,46187016,152.65
tiny_imagenet,8,2,35,68.707,"['0.050', '0.050', '0.058', '0.050']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[3, 0.3, 0.001, 0.9]",18,50,1372,0.01,0.54,0.75,0.06,895.64,210.58,46187016,157.98
tiny_imagenet,9,2,35,64.536,"['0.050', '0.050', '0.060', '0.050']",adam,"['depth', 'dropout', 'learning_rate', 'momentum']","[4, 0.3, 0.003, 0.9]",18,50,1421,0.01,0.55,0.68,0.06,905.77,172.71,46187016,167.05
